Destination ,Latitude,Longitude,Rating,Short Descriptin,Image
Bomburu Ella Waterfall,6.9471573,80.831127,4.7,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/43/9a/ae/best-view-from-bathing.jpg?w=1000&h=-1&s=1
Riverston,-33.6788612,150.8625878,4.7,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/15/5f/riverston.jpg?w=1000&h=800&s=1
Sea Turtle Farm and Hatchery - Habaraduwa,5.9928848,80.3118138,3.7,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f6/9b/sea-turtle-farm-and-hatchery.jpg?w=1000&h=800&s=1
Viharamahadevi Park,6.9142322,79.8625967,4.2,Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9d/43/3a/viharamahadevi-park.jpg?w=1000&h=-1&s=1
Kandy View Point,7.2889587,80.6398003,4,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/9e/9f/43/view-from-arthur-s-seat.jpg?w=1000&h=800&s=1
Unawatuna Beach,6.0096861,80.248424,3.9,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/17/f0/2d/20190407-165442-largejpg.jpg?w=1000&h=800&s=1
Sea Turtle Education and Conservation,6.3972388,80.0058434,4.1,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a9/71/72/photo0jpg.jpg?w=1000&h=800&s=1
Moon Plains,6.9523269,80.7964041,4,Mountains • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=1000&h=-1&s=1
Kelaniya Raja Maha Vihara,6.951826,79.9184698,4.6,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/56/a8/17/kelaniya-raja-maha-vihara.jpg?w=700&h=-1&s=1
Mihiripenna Beach,5.9979152,80.2701137,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/09/c0/ad/mihiripenna-beach.jpg?w=1000&h=-1&s=1
Sita Temple,6.9332262,80.8105012,4.1,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=1000&h=-1&s=1
Kai Beach,21.3605556,-157.9688889,4.9,Beach & Pool Clubs,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/89/9a/26/caption.jpg?w=1000&h=800&s=1
Sembuwaththa Lake,7.436953,80.6999564,4.2,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/72/89/19/sembuwaththa-lake.jpg?w=700&h=-1&s=1
Mahameunawa Monastery,,,4.7,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/5f/12/9e/mahamevnawa-monastery.jpg?w=1000&h=800&s=1
Richmond Castle,6.6015528,79.9753241,4.2,Castles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f9/7e/66/richmond-castle-at-palatota.jpg?w=1000&h=800&s=1
Hurulu Eco Park,8.0578217,80.7699306,4,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/85/59/9a/super-experience-with.jpg?w=1000&h=800&s=1
Seethawaka Wet Zone Botanic Gardens,6.892941,80.1717612,4.3,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/68/a6/24/photo1jpg.jpg?w=1000&h=-1&s=1
Independence Square,6.904162,79.8675756,4.2,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/56/d2/20/independence-square.jpg?w=1000&h=-1&s=1
Muthurajawela Marsh,,,4.2,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/20/bd/9f/muthurajawela-marsh.jpg?w=1000&h=800&s=1
Neduntheevu,9.516667,79.683333,4.2,Islands,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/85/cc/7b/neduntheevu-delft-island.jpg?w=1000&h=800&s=1
R. Premadasa Stadium,6.9399658,79.8723271,4.2,Arenas & Stadiums,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/f8/44/ba/r-premadasa-stadium.jpg?w=600&h=-1&s=1
Kandy City Center,7.2920223,80.6371148,4,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/1e/c7/e5/kandy-temple-of-the-totoh.jpg?w=500&h=-1&s=1
Knuckles Mountain Range,,,4.7,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6c/a9/04/cloudy-knuckles-its-heavenreal.jpg?w=1000&h=800&s=1
Sri Lanka Driver Hire,6.9272932,79.8656274,5,Taxis & Shuttles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/ed/ad/d0/thomas-brandt-from-denmark.jpg?w=1000&h=-1&s=1
Udawalawa Elephant Orphanage,6.4266887,80.8165359,4.3,Nature & Wildlife Areas • Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/34/ea/d8/the-udawalawe-elephant.jpg?w=1000&h=800&s=1
Goyambokka Beach,6.0091578,80.7805868,4.3,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=1000&h=-1&s=1
Dalawella Beach,5.9995953,80.2636684,4.1,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/34/cc/5b/blick-auf-den-strand.jpg?w=1000&h=800&s=1
